calories_kcal,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,potassium_mg,calcium_mg,iron_mg,vitamin_c_mg,glycemic_index,saturated_fat_g,gluten_free,dairy_free,purine_level,fodmap_score,goitrogen_flag,label_Diabetes,label_Hypertension,label_Heart Disease,label_Obesity,label_Celiac Disease,label_Lactose Intolerance,label_Kidney Disease,label_High Cholesterol,label_PCOS,label_Thyroid Disorder,label_Anemia,label_Gout,label_IBS,label_Liver Disease,label_GERD,label_Osteoporosis,label_Rheumatoid Arthritis,label_NAFLD,label_Gallbladder Disease,label_Crohn's Disease,label_Chronic Pancreatitis,label_Migraine
32.61,3.57,5.95,0.16,2.28,1.93,6.99,375.73,144.02,2.73,43.29,21,0.13,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
43.39,3.46,5.76,0.82,4.61,0.62,25.55,264.38,87.73,1.12,57.1,16,0.07,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1
26.16,3.53,2.14,0.81,3.13,0.35,57.26,388.68,137.75,3.21,68.21,18,0.55,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
29.82,2.71,5.46,0.73,2.51,0.75,48.54,460.13,106.19,1.72,60.79,16,0.75,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
18.61,3.71,5.03,0.83,3.28,2.69,34.19,203.25,140.54,1.27,39.16,23,0.68,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1
31.89,2.48,2.5,0.09,4.41,1.66,20.95,483.86,128.13,1.34,75.86,19,0.06,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1
34.23,2.32,7.33,0.35,2.47,0.43,62.11,385.47,60.11,1.25,62.06,19,0.4,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1
46.22,1.44,5.08,0.23,4.33,2.59,71.03,271.01,140.77,2.78,41.01,21,0.08,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
42.2,2.68,4.55,0.91,2.44,1.48,5.85,340.6,55.63,1.36,27.05,18,0.74,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1
38.84,1.71,4.4,0.48,2.33,1.59,37.73,440.63,147.79,2.67,39.36,25,0.53,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
49.75,1.22,5.32,0.97,4.09,1.89,57.18,336.36,112.76,2.75,74.07,18,0.92,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
48.55,1.17,4.37,0.11,3.34,0.51,53.51,316.48,72.94,1.8,41.62,13,0.99,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
39.44,2.61,3.86,0.81,4.74,0.49,73.32,446.76,144.98,3.18,56.8,11,0.08,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
45.68,2.65,2.99,0.41,5.11,1.44,78.9,313.02,124.96,2.18,69.75,10,0.84,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
31.4,2.24,3.64,0.06,5.46,2.44,79.98,498.99,105.54,3.31,76.69,19,0.38,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
23.44,1.62,3.51,0.27,2.83,2.63,61.77,214.07,76.87,1.07,49.89,15,0.77,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1
33.21,3.56,5.31,0.56,5.51,1.21,15.05,208.63,125.51,2.86,62.24,12,0.9,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
36.6,3.94,5.65,0.64,4.22,0.27,59.48,364.23,95.09,3.73,37.88,19,0.86,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
48.23,1.44,7.56,0.49,3.03,1.38,78.5,347.79,82.88,2.9,34.41,12,0.54,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
31.1,2.75,4.4,0.7,2.72,2.09,35.87,462.3,101.52,3.92,56.12,12,0.04,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
20.91,1.84,3.06,0.09,2.48,1.38,20.48,309.28,100.34,3.07,22.36,18,0.48,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
39.07,2.53,2.94,0.38,2.01,2.6,11.34,379.18,148.63,2.61,75.44,23,0.62,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
27.91,2.39,6.48,0.04,3.01,2.14,72.14,353.5,103.21,1.32,46.84,12,0.4,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1
18.67,3.21,3.09,0.56,5.36,0.27,45.15,269.96,84.29,2.42,41.31,18,0.5,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
18.04,2.61,5.52,0.75,3.73,0.38,26.28,308.92,114.59,2.71,41.37,22,0.33,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1
47.68,1.02,3.35,0.37,3.95,2.55,11.59,441.76,55.57,3.53,23.1,24,0.41,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1
49.38,1.34,4.39,0.97,5.46,2.45,24.34,251.27,116.86,3.79,53.41,17,0.48,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
44.35,1.62,7.81,0.71,2.8,2.21,44.74,412.17,126.78,1.26,50.37,24,0.48,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1
33.64,1.16,4.02,0.13,2.25,2.97,29.18,442.96,75.46,3.04,65.61,20,0.47,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
36.21,3.38,2.64,0.85,4.98,1.23,74.97,497.28,70.5,2.14,75.59,25,0.57,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
44.46,1.42,6.77,0.2,2.65,0.49,66.09,399.56,102.31,2.08,72.63,18,0.68,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
30.82,3.14,7.4,0.62,4.16,1.32,48.31,306.61,89.15,2.6,24.0,17,0.62,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
19.09,3.82,5.77,0.33,2.56,2.38,51.51,360.04,139.39,3.37,29.1,10,0.71,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
42.25,1.43,3.23,0.71,3.98,2.26,12.72,360.94,87.88,2.37,56.24,24,0.8,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1
20.25,1.69,6.33,0.72,4.56,2.08,45.7,275.54,84.57,1.54,74.51,15,0.23,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
29.83,1.86,5.69,0.91,2.56,0.3,24.2,417.83,109.3,1.31,75.13,14,0.92,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1
39.75,1.46,5.46,0.61,3.7,2.21,75.08,477.67,95.08,1.34,79.09,23,0.19,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1
44.31,2.0,3.87,0.23,4.43,1.14,60.82,261.67,128.78,2.81,26.86,13,0.54,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
47.19,2.04,4.08,0.74,3.81,0.67,38.93,242.26,67.64,2.5,45.14,17,0.31,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1
42.32,1.83,3.32,0.21,4.06,2.93,39.42,367.19,136.06,2.61,31.07,16,0.6,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
17.35,3.25,3.26,0.9,2.82,0.57,7.74,341.62,106.48,1.2,66.53,24,0.53,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1
33.71,2.44,4.98,0.77,2.41,1.0,10.66,425.97,77.23,3.69,51.59,10,0.03,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
20.47,3.15,5.95,0.03,2.89,0.69,55.39,205.91,60.41,3.4,30.71,10,0.56,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
40.23,3.42,7.93,0.6,5.23,2.89,75.83,242.32,90.64,1.97,25.22,19,0.09,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
22.28,1.08,3.09,0.58,3.69,2.68,66.31,302.55,75.94,2.14,55.42,21,0.83,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1
27.08,3.32,4.18,0.86,2.88,2.92,63.48,234.27,106.58,3.96,48.26,25,0.43,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
15.79,1.81,5.25,0.63,3.03,0.42,67.62,495.32,102.57,1.52,36.34,20,0.82,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
33.54,3.45,4.99,0.07,3.62,1.49,59.02,231.97,64.0,1.79,35.99,20,0.6,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1
36.02,3.0,3.05,0.91,3.68,1.15,43.92,214.09,66.63,3.21,24.97,13,0.77,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1
17.39,3.51,4.62,0.92,4.89,1.83,76.2,318.99,145.41,1.41,49.03,19,0.03,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1
24.18,2.79,2.31,0.5,4.39,1.0,62.82,231.98,57.51,3.18,49.73,20,0.6,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
31.09,1.23,2.47,0.0,5.87,0.02,12.73,294.38,130.74,3.89,67.4,18,0.45,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
21.48,2.63,7.24,0.73,5.23,1.98,56.92,454.76,74.97,2.47,33.27,19,0.05,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
38.45,1.13,5.53,1.0,4.22,1.42,28.46,236.16,123.1,1.58,26.92,20,0.94,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
31.6,3.59,7.07,0.32,5.32,0.11,49.72,269.0,62.06,1.23,61.78,17,0.44,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1
29.16,2.72,6.82,0.54,4.65,2.21,44.01,328.05,137.67,2.25,47.72,11,0.02,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
45.61,2.59,7.63,0.8,5.99,1.05,62.54,320.58,97.99,2.88,72.42,24,0.4,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
18.21,2.01,5.14,0.73,2.01,1.4,27.28,455.85,121.56,2.77,36.64,14,0.99,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
29.97,2.15,6.08,0.22,5.8,2.36,11.71,325.27,137.91,3.83,48.04,22,0.99,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
41.02,1.19,4.41,0.84,2.92,2.49,14.03,214.08,88.41,1.11,77.44,17,0.35,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1
17.02,3.91,7.3,0.93,5.98,0.52,34.72,427.47,119.6,1.46,68.95,15,0.62,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1
41.18,1.1,7.37,0.86,3.83,1.17,25.47,343.0,54.44,3.56,22.13,24,0.66,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1
34.28,1.26,4.45,0.37,3.04,2.17,42.19,224.31,72.02,3.05,24.57,10,0.06,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
45.9,2.55,7.44,0.57,4.65,1.63,69.84,420.17,102.13,3.6,34.72,20,0.87,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
39.79,3.51,6.18,0.68,4.47,2.26,16.9,464.26,137.18,1.09,69.55,19,0.82,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1
23.0,3.73,2.01,0.56,5.03,0.78,19.48,225.23,82.64,2.68,26.95,11,0.63,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
33.9,3.34,2.64,0.76,4.17,2.89,30.64,389.79,143.2,1.31,76.23,25,0.77,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1
48.16,1.5,6.63,0.71,3.89,0.17,10.6,455.72,149.01,3.03,46.76,20,0.13,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1
41.54,1.07,2.13,0.32,3.95,2.31,56.25,333.77,77.36,3.99,45.57,22,0.85,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1
33.45,3.48,3.79,0.84,5.09,0.69,14.85,460.42,146.32,1.09,63.88,24,0.42,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1
37.35,2.19,3.65,0.98,3.64,2.68,22.25,263.93,53.11,2.96,42.11,24,0.47,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1
34.01,1.48,3.22,0.09,2.61,1.36,44.78,205.36,129.68,1.88,74.71,19,0.62,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
42.88,2.44,2.7,0.13,4.74,1.29,20.04,347.48,56.42,2.75,36.14,17,0.43,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
49.45,1.45,4.79,0.68,3.58,2.92,59.14,397.1,125.71,3.86,74.47,20,0.48,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1
18.67,1.73,7.92,0.14,4.0,1.85,57.68,367.89,50.98,1.98,51.06,10,0.88,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
17.89,3.47,4.15,0.32,5.91,0.6,56.99,446.43,54.12,3.01,77.09,22,0.71,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
16.11,3.81,2.31,0.54,4.84,2.61,58.56,440.52,83.95,3.44,24.81,13,0.55,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
35.91,3.35,4.89,0.04,2.66,1.32,59.36,377.98,115.03,2.44,56.94,12,0.98,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
26.79,1.55,6.74,0.66,3.99,1.67,58.94,268.54,149.63,3.92,59.02,19,0.4,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1
22.72,2.26,3.22,0.84,2.7,2.88,36.19,453.87,112.88,3.21,66.06,21,0.04,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
45.35,2.74,4.63,0.73,3.95,2.62,72.55,326.52,77.68,2.78,74.74,21,0.38,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1
31.3,3.51,3.41,0.78,3.62,1.81,52.44,311.85,101.26,2.24,24.15,18,0.25,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1
45.48,2.34,5.09,0.36,4.37,0.49,34.33,490.82,75.81,2.97,39.51,17,0.6,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
28.88,1.71,3.41,0.88,3.77,0.99,38.66,400.82,64.58,2.35,55.27,21,0.71,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1
20.85,1.5,2.22,0.74,4.66,1.42,68.31,441.7,108.54,3.6,32.35,22,0.03,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
49.53,1.37,3.39,0.05,4.56,0.67,18.5,226.57,60.33,2.75,61.29,13,0.99,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
48.78,1.01,7.71,0.64,5.47,1.36,43.67,346.65,116.69,1.42,21.8,22,0.14,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1
47.89,3.2,2.97,0.19,4.92,0.47,22.59,489.0,75.53,2.98,78.72,20,0.68,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
32.4,2.85,7.21,0.57,2.12,2.79,56.71,402.95,71.57,2.98,43.63,14,0.58,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
27.2,1.48,5.63,0.32,5.47,2.98,61.43,227.14,78.87,1.33,59.03,15,0.33,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1
38.37,3.42,6.57,0.8,3.74,2.45,14.02,363.35,50.58,1.97,41.99,16,0.56,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1
28.31,2.65,5.58,0.55,3.78,0.04,49.03,250.53,114.26,3.28,50.03,14,0.86,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1
33.17,2.44,2.15,0.34,3.52,1.2,48.51,360.08,110.79,3.29,68.78,11,0.72,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1
33.24,3.47,4.59,0.9,2.29,2.86,54.1,314.02,69.72,2.44,31.67,23,0.49,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
23.99,1.85,3.84,0.8,4.16,0.93,50.78,414.85,77.26,2.24,27.31,20,0.12,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
45.08,3.4,3.11,0.3,5.17,0.56,73.83,327.36,58.7,3.45,42.41,22,0.63,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
48.3,2.8,6.92,0.88,2.91,0.64,50.82,323.31,133.99,3.7,41.21,19,0.26,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
25.57,3.2,7.11,0.67,5.24,2.3,16.23,327.18,65.3,1.71,72.16,10,0.22,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
18.35,1.07,5.85,0.61,4.19,0.7,34.32,378.34,99.68,3.96,28.19,14,0.68,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
30.5,2.34,6.35,0.02,3.36,2.46,50.24,301.17,140.55,3.32,35.89,14,0.89,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
